first_name,last_name,birth_year,death_year
Paul,Zunk,,
Vassili,Žukovski,1783,1852
V. V.,Žukov,,
Heinrich,Zshokke,1771,1848
Heinrich Daniel,Zschokke,1771,1848
Émile,Zola,1840,1902
Nikolai,Zlatovratski,1845,1911
Katharina,Zitelmann,1844,1926
Wilhelm,Ziethe,1824,1901
Ernst,Ziel,1841,1921
,Zeltmatis,1868,1961
W.,Zell,,
C. von,Zell,,
Vera,Želihhovskaja,1835,1896
H.,Zeitz,,
von,Zeidlitz,,
Karl,Zastrow,1836,1903
C.,Zastrow,,
Andrei,Zarin,1862,1929
Jan,Zacharjasiewicz,1823,1906
,Z.,,
,Young,,
,Voltaire,1694,1778
R.,Gutskov,,
E.,R.,,
M.,R.,,
,Pilpai,,
Ignaz Aurelius,Fessler,1756,1839
,Jakobi,,
,Grawell,,
Georg Christoph,Lichtenberg,1742,1799
,X.,,
Ludwig,Würdig,1818,1869
Olli,Wuorinen,,
Martti,Wuori,1858,1934
Henry Sir,Wotton,1568,1639
Harald,Woormann,,
Ernst von,Wolzogen,1855,1934
Julius,Wolff,1834,1910
I.,Wolff,,
Friedrich,Wolff,1766,1845
D. L. B.,Wolff,,
Franz,Wolf,,
H.,Woldemar,,
Johanna,Woht,,
Olga,Wohlbrück,1867,1933
Karl,Woermann,1844,1933
Hugo,Wjöstber,,
Juho,Wixta,,
Emma,Wittemann,1847,
Johann Heinrich Wilhelm,Witschel,1769,1847
Johann Heinrich Wilhelm,Witschel,,
Bettina,Wirth,1849,1926
A.,Wirnwell,,
Adolf von,Winterfeld,1824,1889
W.,Winkler,,
Hermine,Willinger,1849,1917
A.,Willerss,,
A. M.,Wille,,
Wilhelm,Hauff,1802,1827
K.,Wildtenstein,,
Ottilie,Wildermuth,1817,1877
Ernst von,Wildenbruch,1845,1909
Heinrich,Wild,1833,1902
Adolf von,Wilbrandt,1837,1911
V.,Wiesen,,
Christoph Martin,Wieland,1733,1813
Franz,Wiedemann,,
Franz,Wichmann,1859,1923
Ernst,Weyden,1805,1869
Luise,Westkirch,1853,1941
M.,Weske,,
Reinhold von,Werner,1825,1909
Guido,Werner,,
Elisabeth,Werner,1838,1918
Heinrich,Wels,,
A. H.,Weissmann,,
Christian Felix,Weisse,1726,1804
J.,Weiss,,
A.,Weingarten,,
Paul von,Weilen,,
Julius,Weil,1847,1930
Carl,Weidt,1857,1936
Ernst,Wechsler,1861,1892
A.,Weber,,
Annie,Webb-Peploe,1805,1880
,Webb,,
Karl,Wartenburg,1826,1889
Hans,Warring,,
,Warring,,
G.,Warje,1867,1903
J.,Walwe,,
Paul,Walter,1859,1918
Edmund,Wallner,,
Lew,Wallace,1827,1905
Ernst von,Waldow,1844,1927
,Waldow,,
Robert,Waldmüller,1822,1910
Theodor Arthur,Waldau,1881,1942
,Wairon,,
,Wäinöla,,
,Wainö,,
Oswald,Waibl,,
Hermann,Wagner,1840,1929
,Wadelaisch,,
Wilhelm,Wackernagel,1806,1869
Georg Philip Ludwig Leonhard,Wächter,1762,1837
Hans,Wachenhusen,1827,1898
Christian August,Vulpius,1762,1827
Gustav,Vulff,1864,1946
Marko,Vovtšok,1833,1907
Richard,Voss,1851,1918
Max,Voss,1863,1927
Johann Heinrich,Voss,1751,1826
Mihály,Vörösmarty,1800,1855
,Von-Stekert,,
Berthold,Volz,1839,1899
,Päckert,,
Friedrich,Hebbel,1813,1863
,Gracia,,
Pedro,Calderon de la Barca,1600,1681
Ludwig,Börne,1786,1837
,Sophokles,497,406
Demokritos,u,460,370
Jean,Paul,1763,1825
Theodor Gottlieb von,Hippel,1741,1796
Jevgeni,Volõnski,,
N. N.,Volkonski,,
Richard von,Volkmann,1830,1889
Johannes Nepomuk,Vogl,1802,1866
Johann Nepomuk,Vogl,1802,1866
Pjotr,Vjazemski,1792,1878
Pavel,Viskovatov,1842,1905
Friedrich Theodor,Vischer,1807,1887
Esko,Virtala,1864,1927
Agnes,Vilms,,
,Villingen,,
Eduard,Vilde,1865,1933
Alfred de,Vigny,1797,1863
Lilly von,Vietinghoff-Scheel,1844,1901
Juliane von,Vietinghoff-Krüdener,1764,1824
Johannes Voldemar,Veski,1873,1968
Mihkel,Veske,1843,1890
Janko,Veselinović,1862,1905
Jules,Verne,1828,1905
Jakov,Verhovets,1860,
Giovanni,Verga,1840,1922
Anton von,Verfall,,
vennad,Grimmid,,
Emma,Vely,1848,1934
Pjotr,Veinberg,1831,1908
Yrjö,Veijola,1875,1930
Ivan,Vazov,1850,1921
Mirzə Şəfi,Vazeh,1794,1852
G.,Vater,,
V.,Vassiljev,,
A.,Vakulovski,,
Péter,Vajda,1808,1846
Sándor,Vachott,1818,1861
Emile Mario,Vacano,1840,1892
V.,B.,,
Gleb,Uspenski,1843,1902
B.,Urner,,
H.,Urhani,,
Woldemar,Urban,,
W,Urban,,
Alexander von,Ungern-Sternberg,1806,1868
Sergei,Umanets,1859,1917
Esper,Uhtomski,1861,1921
Ludwig,Uhland,1787,1862
Mark,Twain,1835,1910
Mark,Twain,1835,191
A.,Tutajev,,
Ivan,Turgenev,1818,1883
Otto,Tuomi,1869,1930
Fjodor,Tumanski,1800,1853
Nikolai,Tsõganov,1797,1832
Olga,Tšjumina,1864,1909
Leonti,Tšemisov,1857,1939
Anton,Tšehhov,1860,1904
,Tscheldon,,
Antonio,Trueba,1819,1889
Johannes,Trojan,1837,1915
Ernst,Treumann,,
Ewa,Treu,,
G.,Treburg-Arminius,,
Heinz,Tovote,1864,1946
,Tournier,,
Zacharias,Topelius,1818,1898
Lev,Tolstoi,1828,1910
Aleksei,Tolstoi,1817,1875
Feliks-Emmanuel,Toll,1823,1867
Louise,Todtenhaupt,,
Fjodor,Tjuttšev,1803,1873
Gaston,Tissandier,1843,1899
Léon de,Tinseau,1844,1921
Christoph August,Tiedge,1752,1841
Ludwig,Tieck,1773,1853
K.,Thorshewski,,
Friedrich,Thieme,1862,1945
,Thevriet-Thennert,,
Liisa,Tervo,1863,1936
W.,Tern,,
Leon de,Tenso,,
C.,Tenner,,
Jodocus Donatus Hubertus,Temme,1798,1881
Irene von,Taube,,
Amable,Tastu,1798,1885
Torquato,Tasso,1544,1595
,Tarrund,,
C.,Tanera,,
Maila,Talvio,1871,1951
István,Szomaházy,1864,1927
Bartholomäus,Szalóczy,,
Carmen,Sylva,1843,1916
Margarethe von,Sydow,1869,1945
Herbert,Swinden,,
Aleksander,Świętochowski,1849,1938
V.,Svetlov,,
von,Süttner,,
Bertha von,Suttner,1843,1914
Arthur Gundaccar von,Suttner,1850,1902
K.,Surnakov,,
,Suonio,,
Kaarle Kustas Samuli,Suomalainen,1850,1907
,Sula,,
Vassili,Šukšin,1929,1974
Gustav,Suits,1883,1956
Eugène,Sue,1804,1857
Hermann,Sudermann,1857,1928
Lilli,Suburg,1841,1923
Julius,Sturm,1816,1896
Stud.,R.,,
Adolf,Strodtmann,1829,1879
August,Strindberg,1849,1912
Hesba pseud.,Stretton,1832,1911
Rudolf,Stratz,1864,1935
Giovanni Francesco u.,Straparola,1480,1557
Theodor,Storm,1817,1888
,Storm,,
Ferdinand,Stolle,1806,1872
Friedrich Leopold zu,Stolberg-Stolberg,1750,1819
Helene,Stökl,,
Frank Richard,Stockton,1834,1902
K.,Stöber,,
Karl,Stieler,1842,1885
Robert Louis,Stevenson,1850,1894
Adolf,Stern,1835,1907
Felix von,Stenglin,1860,1941
Alfred,Stelzner,,
A.,Stelzner,,
Heinrich,Stein,1844,1904
,Stefanovitsch,,
Bernhard,Stavenow,1848,1890
M.,Stahl,,
Staël von,Holstein,,
Sr.,G.,,
,Spielmann,,
Hans von,Spielberg,1853,1918
,Speranski,,
Lydia,Spaur,,
Karl Gottlob,Sonntag,1765,1827
Vsevolod,Solovjov,1849,1903
Vladimir,Solovjov,1853,1900
Vladimir,Sollogub,1813,1882
A. V.,Sollogub,,
,Sokrates,469,399
Jan Amos,Komenský,1592,1670
Johann Caspar,Lavater,1741,1801
,Börne,,
Aleksandr,Sokolov,1840,1913
August,Söderman,1832,1876
N.,Snjegov,,
Johan Vilhelm,Snellman,1806,1881
John,Smith,,
H.,Smith,,
Samuel,Smiles,1812,1904
Josef Václav,Sládek,1845,1912
L.,Sivert,,
Jegor von,Sivers,1823,1879
Th.,Simonss,,
Carmen,Silwa,,
Johann Gottfried von,Herder,1744,1803
