teaviku_laad,sihtrühm,pealkiri,autor,originaal_pealkiri,Žanr,tõlkija,lähtekeel,lähtekirjandus,toimetaja,ees__järelsõna_autor,ilmumiskoht,kirjastaja,ilmumisaasta,füüsiline_kirjeldus,trükikordus,sarjaandmed,arvustatava_tõlkeraamatu_autor,väljaanne,number_leheküljed,sisu,märkused,id
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Mary Baker-Eddy","Zweig, Stefan 1881-1942","Mary Baker-Eddy",jutustused,"Kross, Jaan 1920-2007",saksa,austria,,,,,19751976,,,,,"<p>Kultuur ja Elu</p>","nr 9, lk 46-54; nr 10, lk 23-29; nr 11, lk 22-28; nr 12, lk 25-34; nr 1, lk 26-29, 32-36; nr 2, lk 26-32; nr 3, lk 33-39",,,80301
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Kadunud kullalaev","Zobeltitz, Hanns von 1853-1918",teadmata,romaanid,"Tiedemann, Johannes",saksa,saksa,,,,,19071908,,,,,"<p>Koit : Kirjandusline lisa</p>","nr 75, lk 321-322 - nr 98, lk 413-416; 1908: nr 2, lk 6-8 - nr 4, lk 15-16",,"Väljaandes: Hanns v. Zobeltitzi järele J. Tiedemann",34497
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus",Hernehirmutis,"Železnikov, Vladimir 1925-2015",teadmata,jutustused,"Maksing, Meta",vene,vene,,,,,19831984,,,,,<p>Pioneer</p>,"nr 9, lk 34-36; nr 10, lk 35-36; nr 11, lk 34-36; nr 12, lk 34-36; nr 1, lk 34-35; nr 2, lk 33-35; nr 3, lk 34-35; nr 4, lk 34-35; nr 5, lk 33-35; nr 6, lk 27-29; nr 7, lk 33-35; nr 8, lk 33-35; nr 9, lk 33-35; nr 10, lk 33-35",,,73862
"Perioodikas ilmunud tõlge","Laste- ja noortekirjandus",Hernehirmutis,"Železnikov, Vladimir 1925-2015",teadmata,jutustused,"Maksing, Meta",vene,vene,,,,,19831984,,,,,<p>Pioneer</p>,"nr 9, lk 34-36; nr 10, lk 35-36; nr 11, lk 34-36; nr 12, lk 34-36; nr 1, lk 34-35; nr 2, lk 33-35; nr 3, lk 34-35; nr 4, lk 34-35; nr 5, lk 33-35; nr 6, lk 27-29; nr 7, lk 33-35; nr 8, lk 33-35; nr 9, lk 33-35; nr 10, lk 33-35",,,76696
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Eksmeister,"Zeleranski, Nisson 1915-1976; Leonova, Galina 1946-2024",Экс-чемпион ,jutustused,teadmata,vene,vene,,,,,19861987,,,,,"<p>Harju Elu</p>","16., 18., 20., 23., 25., 27. dets.; 6., 10., ,15., 20., 24., 27., 29., 31. jaan.; 3., 5., 7., 10., 12., 19., 21., 24., 26., 28. veebr.; 3., 10., 17., 19., 21., 28. märts; 2., 4., 7., 9., 14., 16., 18., 21., 23., 25., 28., 30. apr.",,,73083
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus",Eksmeister,"Zeleranski, Nisson 1915-1976; Leonova, Galina 1946-2024",Экс-чемпион ,jutustused,teadmata,vene,vene,,,,,19861987,,,,,"<p>Harju Elu</p>","16., 18., 20., 23., 25., 27. dets.; 6., 10., ,15., 20., 24., 27., 29., 31. jaan.; 3., 5., 7., 10., 12., 19., 21., 24., 26., 28. veebr.; 3., 10., 17., 19., 21., 28. märts; 2., 4., 7., 9., 14., 16., 18., 21., 23., 25., 28., 30. apr.",,,75920
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Suure Pta paradoks","Žarenov, Anatoli 1922-1975",teadmata,romaanid,teadmata,vene,vene,,,,,19711972,,,,,"<p>Leninlik Lipp</p>","8.-10., 14.-18., 21.-24., 28.-30 sept.; 1.-2., 5.-8., 12.-15., 19.-23., 26.-29. okt.; 3., 6., 10., 17., 20., 24. nov.; 1.-4., 7.-10., 14.-17., 21.-23., 28.-30. dets.; 1., 4.-8., 11.-14, 18.-21., 25.-26. jaan.",,,82965
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Sir Henry nähtav looming","Wotton, Henry",teadmata,aforismid,teadmata,inglise,inglise,,,,,19851986,,,,,"<p>Põllumajanduse Akadeemia</p>","26., dets., 9. jaan.",,"Märkus autori kohta",73339
"Perioodikas ilmunud tõlge","Täiskasvanute ilukirjandus","Sir Henry nähtav looming","Wotton, Henry",teadmata,aforismid,teadmata,inglise,inglise,,,,,19851986,,,,,"<p>Põllumajanduse Akadeemia</p>","26., dets., 9. jaan.",,"Märkusega autori kohta",76175
Tõlkeraamat,"Täiskasvanute ilukirjandus","Printsess Arnulfi armastus ja elu","Wohlbrück, Olga 1867-1933",teadmata,romaanid,teadmata,saksa,"saksa; austria",,,Tallinn,Uudisleht,19371938,"200 lk.",,,,,,,"Ajalehe joonealune: Uudisleht, 1937-1938",57475
