author,translator,editor,fore_afterword_author,title,title_original,genre,source_language,source_literature,publisher,publication_location,publication_year,physical_description,series,publication_type,target_audience,edition,n_pages,content,issue,notes
,"Meomuttel, Jüri 1868-1948",,,"Natanael. Kulturhistorialine roman. A. Liepe järele eestistanud Idna Illiv: [Rets.: Albert Liepe. Natanael. Kulturhistorialine roman. Viljandi: A. Peet, 1896]",,romaanid,saksa,saksa,,,1896.0,,,Tõlkearvustus,Täiskasvanute ilukirjandus,,"13. veebr., nr 7, lk 161-162",,Olevik,Idna Illiv (pseud.) = Jüri Meomuttel
,,,,"Talu sulane Tõnis. Ühe Schweitsi jutu järele jutustanud Tõstamaa baroniproua  Staël von Holstein. Pärnus, L. W. Laakmanni linnatrükikoda, 1897. 91 lhk., hind 25 kop. : [Rets.: Lucia Staël von Holstein. Talu sulane Tõnis. Pärnu : L. V. Laakmann, ",,jutud,saksa,šveitsi,,,1897.0,,,Tõlkearvustus,Täiskasvanute ilukirjandus,,"28. okt., nr 43, lk 961",,Olevik,
"Zunk, Paul","Mällow, J.",,,Miss Portsia,,jutud,,,,,1894.0,,,Perioodikas ilmunud tõlge,Täiskasvanute ilukirjandus,,nr 21-22,,Eesti Postimees : Lisaleht,Väljaandes: Paul Zunk'i uudisjutukese järele J. Mällow
"Žukovski, Vassili 1783-1852","Leppik, Jaan 1861-1943",,,Kodu,,luuletused,vene,vene,F. Feldt,Viljandi,1889.0,39 lk. 13 cm,,Kogumikus ilmunud tõlge,Täiskasvanute ilukirjandus,,,Ilmunud kogumikus: Eestistatud laulud 2.,,Väljaandes: Wene keelest [autor märkimata]; Eestistanud ja wälja andnud J. Leppik
"Žukovski, Vassili 1783-1852",G. Kewade,,,Kolm õde,,jutud,saksa,vene,Laakmann,Tartu,1886.0,,,Perioodikas ilmunud tõlge,Täiskasvanute ilukirjandus,,"31. dets., nr. 52, lk. 409",,Meelelahutaja,Väljaandes: Shukowsky järele: G. Kewade
"Žukovski, Vassili 1783-1852","Jakobson, M.",,,Muinasjutt kuningast Berendei'st,Сказка о царе Берендее,jutud,vene,vene,,,1885.0,,,Perioodikas ilmunud tõlge,Täiskasvanute ilukirjandus,,"28. aug., nr 35, lk 3",,Eesti Postimees,
"Žukovski, Vassili 1783-1852",T. K.,,,Tark Keerim (Muinasjutt),Две повести,jutud,vene,vene,,,1886.0,,,Perioodikas ilmunud tõlge,Täiskasvanute ilukirjandus,,"27. juuni, nr 26",,Eesti Postimees,"[V. Žukovski värssjutustuse ""Две повести"" katkendi proosaümberjutustus]"
"Žukovski, Vassili 1783-1852",,,,Rootsi komme,Нормандский обычай,näidendid,vene,vene,,,1891.0,,,Perioodikas ilmunud tõlge,Täiskasvanute ilukirjandus,,"nr 29, lk 227-230",[V. Žukovski värssdraama proosatõlge],Sakala lisa,[V. Žukovski värssdraama proosatõlge]
"Žukovski, Vassili 1783-1852","Kleinmann, K.",,,Aasta viimsel õhtul,Светлана,ballaadid,vene,vene,,,1891.0,,,Perioodikas ilmunud tõlge,Täiskasvanute ilukirjandus,,"nr 38, lk 303-304",,Valguse lisaleht,"Väljaandes: Sukovski järele venekeelest, (vabalt) K. Kleinmann"
"Žukovski, Vassili 1783-1852",,,,Jumal Keisrit kaitse sa,Боже царя храни,luule,,vene,,,1883.0,,,Perioodikas ilmunud tõlge,Täiskasvanute ilukirjandus,,"11. mai, nr 19, lk 228",,Kündja,
