name,birth_year,death_year
"Zunk, Paul",,
"Žukovski, Vassili",1783.0,1852.0
"Žukov, V. V.",,
"Zshokke, Heinrich",1771.0,1848.0
"Zschokke, Heinrich Daniel",1771.0,1848.0
"Zola, Émile",1840.0,1902.0
"Zlatovratski, Nikolai",1845.0,1911.0
"Zitelmann, Katharina",1844.0,1926.0
"Ziethe, Wilhelm",1824.0,1901.0
"Ziel, Ernst",1841.0,1921.0
"Zeltmatis,",1868.0,1961.0
"Zell, W.",,
"Zell, C. von",,
"Želihhovskaja, Vera",1835.0,1896.0
"Zeitz, H.",,
"Zeidlitz, von",,
"Zastrow, Karl",1836.0,1903.0
"Zastrow, C.",,
"Zarin, Andrei",1862.0,1929.0
"Zacharjasiewicz, Jan",1823.0,1906.0
Z.,,
Young,,
Voltaire,1694.0,1778.0
"Gutskov, R.",,
E. R.,,
M. R.,,
Pilpai,,
"Fessler, Ignaz Aurelius",1756.0,1839.0
Jakobi,,
Grawell,,
"Lichtenberg, Georg Christoph",1742.0,1799.0
X.,,
"Würdig, Ludwig",1818.0,1869.0
"Wuorinen, Olli",,
"Wuori, Martti",1858.0,1934.0
"Wotton, Henry Sir",1568.0,1639.0
"Woormann, Harald",,
"Wolzogen, Ernst von",1855.0,1934.0
"Wolff, Julius",1834.0,1910.0
"Wolff, I.",,
"Wolff, Friedrich",1766.0,1845.0
"Wolff, D. L. B.",,
"Wolf, Franz",,
"Woldemar, H.",,
"Woht, Johanna",,
"Wohlbrück, Olga",1867.0,1933.0
"Woermann, Karl",1844.0,1933.0
"Wjöstber, Hugo",,
"Wixta, Juho",,
"Wittemann, Emma",1847.0,
"Witschel, Johann Heinrich Wilhelm",1769.0,1847.0
"Witschel, Johann Heinrich Wilhelm",,
"Wirth, Bettina",1849.0,1926.0
"Wirnwell, A.",,
"Winterfeld, Adolf von",1824.0,1889.0
"Winkler, W.",,
"Willinger, Hermine",1849.0,1917.0
"Willerss, A.",,
"Wille, A. M.",,
Wilhelm Hauff,1802.0,1827.0
"Wildtenstein, K.",,
"Wildermuth, Ottilie",1817.0,1877.0
"Wildenbruch, Ernst von",1845.0,1909.0
"Wild, Heinrich",1833.0,1902.0
"Wilbrandt, Adolf von",1837.0,1911.0
"Wiesen, V.",,
"Wieland, Christoph Martin",1733.0,1813.0
"Wiedemann, Franz",,
"Wichmann, Franz",1859.0,1923.0
"Weyden, Ernst",1805.0,1869.0
"Westkirch, Luise",1853.0,1941.0
"Weske, M.",,
"Werner, Reinhold von",1825.0,1909.0
"Werner, Guido",,
"Werner, Elisabeth",1838.0,1918.0
"Wels, Heinrich",,
"Weissmann, A. H.",,
"Weisse, Christian Felix",1726.0,1804.0
"Weiss, J.",,
"Weingarten, A.",,
"Weilen, Paul von",,
"Weil, Julius",1847.0,1930.0
"Weidt, Carl",1857.0,1936.0
"Wechsler, Ernst",1861.0,1892.0
"Weber, A.",,
"Webb-Peploe, Annie",1805.0,1880.0
Webb,,
"Wartenburg, Karl",1826.0,1889.0
"Warring, Hans",,
Warring,,
"Warje, G.",1867.0,1903.0
"Walwe, J.",,
"Walter, Paul",1859.0,1918.0
"Wallner, Edmund",,
"Wallace, Lew,",1827.0,1905.0
"Waldow, Ernst von",1844.0,1927.0
Waldow,,
"Waldmüller, Robert",1822.0,1910.0
"Waldau, Theodor Arthur",1881.0,1942.0
Wairon,,
Wäinöla,,
Wainö,,
"Waibl, Oswald",,
"Wagner, Hermann",1840.0,1929.0
Wadelaisch,,
"Wackernagel, Wilhelm",1806.0,1869.0
"Wächter, Georg Philip Ludwig Leonhard",1762.0,1837.0
"Wachenhusen, Hans",1827.0,1898.0
"Vulpius, Christian August",1762.0,1827.0
"Vulff, Gustav",1864.0,1946.0
"Vovtšok, Marko",1833.0,1907.0
"Voss, Richard",1851.0,1918.0
"Voss, Max",1863.0,1927.0
"Voss, Johann Heinrich",1751.0,1826.0
"Vörösmarty, Mihály",1800.0,1855.0
Von-Stekert,,
"Volz, Berthold",1839.0,1899.0
Päckert,,
"Hebbel, Friedrich",1813.0,1863.0
Gracia,,
"Calderon de la Barca, Pedro",1600.0,1681.0
"Börne, Ludwig",1786.0,1837.0
Sophokles,497.0,406.0
Demokritos u,460.0,370.0
Jean Paul,1763.0,1825.0
"Hippel, Theodor Gottlieb von",1741.0,1796.0
"Volõnski, Jevgeni",,
"Volkonski, N. N.",,
"Volkmann, Richard von",1830.0,1889.0
"Vogl, Johannes Nepomuk",1802.0,1866.0
"Vogl, Johann Nepomuk",1802.0,1866.0
"Vjazemski, Pjotr",1792.0,1878.0
"Viskovatov, Pavel",1842.0,1905.0
"Vischer, Friedrich Theodor",1807.0,1887.0
"Virtala, Esko",1864.0,1927.0
"Vilms, Agnes",,
Villingen,,
"Vilde, Eduard",1865.0,1933.0
"Vigny, Alfred de",1797.0,1863.0
"Vietinghoff-Scheel, Lilly von",1844.0,1901.0
"Vietinghoff-Krüdener, Juliane von",1764.0,1824.0
"Veski, Johannes Voldemar",1873.0,1968.0
"Veske, Mihkel",1843.0,1890.0
"Veselinović, Janko",1862.0,1905.0
"Verne, Jules",1828.0,1905.0
"Verhovets, Jakov",1860.0,
"Verga, Giovanni",1840.0,1922.0
"Verfall, Anton von",,
vennad Grimmid,,
"Vely, Emma",1848.0,1934.0
"Veinberg, Pjotr",1831.0,1908.0
"Veijola, Yrjö",1875.0,1930.0
"Vazov, Ivan",1850.0,1921.0
"Vazeh, Mirzə Şəfi",1794.0,1852.0
"Vater, G.",,
"Vassiljev, V.",,
"Vakulovski, A.",,
"Vajda, Péter",1808.0,1846.0
"Vachott, Sándor",1818.0,1861.0
"Vacano, Emile Mario",1840.0,1892.0
V. B.,,
"Uspenski, Gleb",1843.0,1902.0
"Urner, B.",,
"Urhani, H.",,
"Urban, Woldemar",,
"Urban, W",,
"Ungern-Sternberg, Alexander von",1806.0,1868.0
"Umanets, Sergei",1859.0,1917.0
"Uhtomski, Esper",1861.0,1921.0
"Uhland, Ludwig",1787.0,1862.0
"Twain, Mark",1835.0,1910.0
"Twain, Mark",1835.0,191.0
"Tutajev, A.",,
"Turgenev, Ivan",1818.0,1883.0
"Turgenev, Ivan",1818.0,1883.0
"Tuomi, Otto",1869.0,1930.0
"Tumanski, Fjodor",1800.0,1853.0
"Tsõganov, Nikolai",1797.0,1832.0
"Tšjumina, Olga",1864.0,1909.0
"Tšemisov, Leonti",1857.0,1939.0
"Tšehhov, Anton",1860.0,1904.0
Tscheldon,,
"Trueba, Antonio",1819.0,1889.0
"Trojan, Johannes",1837.0,1915.0
"Treumann, Ernst",,
"Treu, Ewa",,
"Treburg-Arminius, G.",,
"Tovote, Heinz",1864.0,1946.0
Tournier,,
"Topelius, Zacharias",1818.0,1898.0
"Tolstoi, Lev",1828.0,1910.0
"Tolstoi, Aleksei",1817.0,1875.0
"Toll, Feliks-Emmanuel",1823.0,1867.0
"Todtenhaupt, Louise",,
"Tjuttšev, Fjodor",1803.0,1873.0
"Tissandier, Gaston",1843.0,1899.0
"Tinseau, Léon de",1844.0,1921.0
"Tiedge, Christoph August",1752.0,1841.0
"Tieck, Ludwig",1773.0,1853.0
"Thorshewski, K.",,
"Thieme, Friedrich",1862.0,1945.0
Thevriet-Thennert,,
"Tervo, Liisa",1863.0,1936.0
"Tern, W.",,
"Tenso, Leon de",,
"Tenner, C.",,
