"","x"
"teaviku_laad","publication_type"
"sihtrühm","target_audience"
"pealkiri","title"
"autor","author"
"originaal_pealkiri","title_original"
"Žanr","genre"
"tõlkija","translator"
"lähtekeel","source_language"
"lähtekirjandus","source_literature"
"toimetaja","editor"
"ees__järelsõna_autor","comment_author"
"ilmumiskoht","publisher_location"
"kirjastaja","publisher"
"ilmumisaasta","publication_year"
"füüsiline_kirjeldus","physical_description"
"trükikordus","print_number"
"sarjaandmed","series"
"arvustatava_tõlkeraamatu_autor","author_of_translated_book_under_review_to_be_removed"
"väljaanne","issue"
"number_leheküljed","n_pages"
"sisu","content"
"märkused","notes"
"id","id"
